frame,time_s,champion,team,conf,x,y
600,10.01,Jax,BLG,0.577,0.9237,0.9551
1620,27.03,Jax,BLG,0.425,0.9227,0.9553
1650,27.53,Jax,BLG,0.350,0.9224,0.9554
1770,29.53,Jax,BLG,0.539,0.9248,0.9552
1800,30.03,Jax,BLG,0.420,0.9247,0.9556
1860,31.03,Jax,BLG,0.683,0.9248,0.9554
1920,32.03,Jax,BLG,0.552,0.9248,0.9555
1950,32.53,Jax,BLG,0.588,0.9246,0.9555
1980,33.03,Jax,BLG,0.610,0.9242,0.9553
2010,33.53,Jax,BLG,0.510,0.9246,0.9554
2160,36.04,Jax,BLG,0.773,0.9244,0.9550
2190,36.54,Jax,BLG,0.507,0.9241,0.9555
2310,38.54,Jax,BLG,0.353,0.9167,0.9558
2520,42.04,Annie,T1,0.623,0.9229,0.9556
2550,42.54,Annie,T1,0.635,0.9255,0.9554
2580,43.04,Annie,T1,0.673,0.9255,0.9554
2610,43.54,Annie,T1,0.686,0.9255,0.9554
2640,44.04,Annie,T1,0.693,0.9257,0.9555
2670,44.54,Annie,T1,0.697,0.9257,0.9555
2700,45.05,Annie,T1,0.510,0.9253,0.9556
2730,45.55,Annie,T1,0.492,0.9244,0.9555
2970,49.55,Jax,BLG,0.389,0.9247,0.9556
3000,50.05,Jax,BLG,0.630,0.9252,0.9556
3030,50.55,Jax,BLG,0.784,0.9247,0.9553
3060,51.05,Jax,BLG,0.830,0.9248,0.9554
3090,51.55,Jax,BLG,0.809,0.9251,0.9552
3120,52.05,Jax,BLG,0.810,0.9252,0.9552
3180,53.05,Jax,BLG,0.828,0.9248,0.9552
3210,53.55,Jax,BLG,0.482,0.9184,0.9554
3540,59.06,Jax,BLG,0.770,0.9246,0.9548
3930,65.57,Jax,BLG,0.434,0.9172,0.9558
5070,84.58,Jax,BLG,0.518,0.9233,0.9562
5100,85.09,Senna,T1,0.807,0.0500,0.7996
5130,85.59,Senna,T1,0.843,0.0502,0.7996
5160,86.09,Senna,T1,0.816,0.0496,0.7996
5460,91.09,Annie,T1,0.356,0.9193,0.9557
6330,105.61,Jax,BLG,0.482,0.9248,0.9552
6660,111.11,Annie,T1,0.381,0.9237,0.9559
6810,113.61,Annie,T1,0.415,0.9198,0.9557
7470,124.62,Ryze,BLG,0.380,0.9183,0.9563
7950,132.63,Jax,BLG,0.569,0.9233,0.9558
7980,133.13,Jax,BLG,0.767,0.9246,0.9553
8010,133.63,Jax,BLG,0.498,0.9180,0.9557
8040,134.13,Jax,BLG,0.532,0.9243,0.9553
8070,134.63,Jax,BLG,0.711,0.9243,0.9555
8100,135.13,Jax,BLG,0.393,0.9205,0.9557
8130,135.64,Jax,BLG,0.653,0.9242,0.9553
8160,136.14,Jax,BLG,0.716,0.9243,0.9558
8190,136.64,Jax,BLG,0.705,0.9241,0.9553
8250,137.64,Jax,BLG,0.560,0.9235,0.9553
8310,138.64,Jax,BLG,0.744,0.9241,0.9556
