frame,time_s,champion,team,conf,x,y
18690,311.81,LeeSin,T1,0.574,0.0202,0.1532
18720,312.31,LeeSin,T1,0.382,0.1230,0.3572
18750,312.81,LeeSin,T1,0.374,0.1199,0.3614
18780,313.31,LeeSin,T1,0.712,0.0174,0.1505
18810,313.81,LeeSin,T1,0.723,0.0177,0.1529
18840,314.31,LeeSin,T1,0.638,0.0175,0.1492
18870,314.81,LeeSin,T1,0.498,0.0195,0.1533
18900,315.31,LeeSin,T1,0.685,0.0171,0.1536
18930,315.82,LeeSin,T1,0.693,0.0177,0.1503
18960,316.32,LeeSin,T1,0.444,0.0218,0.1541
18990,316.82,LeeSin,T1,0.482,0.0215,0.1541
19020,317.32,LeeSin,T1,0.691,0.0176,0.1524
19050,317.82,Kaisa,T1,0.800,0.1540,0.3456
19080,318.32,Kaisa,T1,0.755,0.1547,0.3403
19110,318.82,Kaisa,T1,0.729,0.1543,0.3395
19140,319.32,Kaisa,T1,0.613,0.1572,0.3356
19170,319.82,Kaisa,T1,0.635,0.1551,0.3356
19200,320.32,Kaisa,T1,0.769,0.1555,0.3398
19230,320.82,Kaisa,T1,0.717,0.1569,0.3368
19260,321.32,Kaisa,T1,0.687,0.1567,0.3378
19290,321.82,Kaisa,T1,0.694,0.1558,0.3375
19320,322.32,Kaisa,T1,0.711,0.1567,0.3383
19350,322.82,Kaisa,T1,0.721,0.1568,0.3369
19380,323.32,Kaisa,T1,0.714,0.1565,0.3366
19410,323.82,Kaisa,T1,0.725,0.1550,0.3376
19440,324.32,Kaisa,T1,0.735,0.1559,0.3358
19470,324.82,Kaisa,T1,0.738,0.1562,0.3357
19500,325.32,Kaisa,T1,0.720,0.1561,0.3348
19530,325.83,Kaisa,T1,0.730,0.1544,0.3375
19560,326.33,Kaisa,T1,0.767,0.1556,0.3363
19590,326.83,Kaisa,T1,0.756,0.1565,0.3367
19620,327.33,Kaisa,T1,0.780,0.1559,0.3367
19650,327.83,Kaisa,T1,0.756,0.1549,0.3371
19680,328.33,Kaisa,T1,0.800,0.1542,0.3437
20970,349.85,Kaisa,T1,0.546,0.5326,0.3336
21000,350.35,Kaisa,T1,0.635,0.4456,0.3417
21030,350.85,Kaisa,T1,0.580,0.4451,0.3426
21030,350.85,Galio,T1,0.375,0.0253,0.1728
21060,351.35,Kaisa,T1,0.635,0.4451,0.3429
21060,351.35,Galio,T1,0.401,0.0253,0.1728
21090,351.85,Kaisa,T1,0.600,0.4450,0.3431
21090,351.85,Galio,T1,0.406,0.0253,0.1729
21120,352.35,Kaisa,T1,0.611,0.4450,0.3426
21120,352.35,Galio,T1,0.405,0.0253,0.1729
21150,352.85,Kaisa,T1,0.659,0.4450,0.3424
21150,352.85,Galio,T1,0.396,0.0253,0.1729
21180,353.35,Kaisa,T1,0.664,0.4450,0.3425
21180,353.35,Galio,T1,0.396,0.0253,0.1729
21210,353.85,Kaisa,T1,0.693,0.4443,0.3452
21210,353.85,Galio,T1,0.366,0.0254,0.1729
21240,354.35,Kaisa,T1,0.556,0.6669,0.3333
21270,354.85,Kaisa,T1,0.515,0.7356,0.3357
21300,355.36,Kaisa,T1,0.591,0.7326,0.3396
21330,355.86,Kaisa,T1,0.569,0.7325,0.3386
21360,356.36,Kaisa,T1,0.545,0.7329,0.3385
21390,356.86,Kaisa,T1,0.548,0.7354,0.3366
21420,357.36,Kaisa,T1,0.524,0.7356,0.3308
21450,357.86,Kaisa,T1,0.519,0.7357,0.3310
21480,358.36,Kaisa,T1,0.519,0.7359,0.3307
21510,358.86,Kaisa,T1,0.540,0.7346,0.3312
21540,359.36,Kaisa,T1,0.539,0.7353,0.3308
21570,359.86,Kaisa,T1,0.539,0.7346,0.3312
21600,360.36,Kaisa,T1,0.646,0.7359,0.3391
21630,360.86,Kaisa,T1,0.654,0.7357,0.3367
21660,361.36,Kaisa,T1,0.610,0.7335,0.3377
21690,361.86,Kaisa,T1,0.604,0.7332,0.3383
21720,362.36,Kaisa,T1,0.598,0.7359,0.3292
21750,362.86,Kaisa,T1,0.589,0.7331,0.3361
21780,363.36,Kaisa,T1,0.588,0.7332,0.3361
21810,363.86,Kaisa,T1,0.588,0.7332,0.3360
21840,364.36,Kaisa,T1,0.630,0.7356,0.3356
21870,364.86,Kaisa,T1,0.682,0.7373,0.3365
21900,365.37,Kaisa,T1,0.687,0.7371,0.3375
21930,365.87,Kaisa,T1,0.679,0.7371,0.3367
21960,366.37,Kaisa,T1,0.527,0.7330,0.3368
21990,366.87,Kaisa,T1,0.531,0.7330,0.3370
22020,367.37,Kaisa,T1,0.544,0.7339,0.3372
22050,367.87,Kaisa,T1,0.510,0.7343,0.3372
22080,368.37,Kaisa,T1,0.508,0.7372,0.3309
