frame,time_s,champion,team,conf,x,y
0,0.00,Rumble,BLG,0.581,0.9186,0.9592
30,0.50,Rumble,BLG,0.852,0.9218,0.9587
60,1.00,Rumble,BLG,0.850,0.9217,0.9587
90,1.50,Rumble,BLG,0.856,0.9228,0.9585
120,2.00,Rumble,BLG,0.896,0.9218,0.9587
150,2.50,Rumble,BLG,0.778,0.9213,0.9586
180,3.00,Rumble,BLG,0.873,0.9229,0.9584
210,3.50,Rumble,BLG,0.841,0.9228,0.9584
240,4.00,Rumble,BLG,0.870,0.9235,0.9583
270,4.50,Rumble,BLG,0.879,0.9228,0.9584
300,5.00,Rumble,BLG,0.847,0.9211,0.9587
330,5.51,Rumble,BLG,0.905,0.9228,0.9586
360,6.01,Rumble,BLG,0.859,0.9233,0.9583
390,6.51,Rumble,BLG,0.907,0.9200,0.9581
420,7.01,Rumble,BLG,0.917,0.9229,0.9580
450,7.51,Rumble,BLG,0.918,0.9208,0.9587
480,8.01,Rumble,BLG,0.918,0.9208,0.9587
510,8.51,Rumble,BLG,0.927,0.9227,0.9584
540,9.01,Rumble,BLG,0.898,0.9233,0.9582
570,9.51,Rumble,BLG,0.892,0.9235,0.9582
600,10.01,Rumble,BLG,0.907,0.9234,0.9581
630,10.51,Rumble,BLG,0.893,0.9234,0.9586
660,11.01,Rumble,BLG,0.874,0.9206,0.9587
690,11.51,Rumble,BLG,0.848,0.9211,0.9587
720,12.01,Rumble,BLG,0.865,0.9189,0.9589
750,12.51,Rumble,BLG,0.697,0.9218,0.9592
780,13.01,Rumble,BLG,0.714,0.9218,0.9592
810,13.51,Rumble,BLG,0.718,0.9218,0.9592
840,14.01,Rumble,BLG,0.879,0.9226,0.9586
870,14.51,Rumble,BLG,0.823,0.9229,0.9595
900,15.02,Rumble,BLG,0.907,0.9195,0.9598
930,15.52,Rumble,BLG,0.862,0.9231,0.9591
960,16.02,Rumble,BLG,0.909,0.9232,0.9591
990,16.52,Rumble,BLG,0.777,0.9189,0.9593
1020,17.02,Rumble,BLG,0.774,0.9228,0.9587
1050,17.52,Rumble,BLG,0.839,0.9201,0.9594
1080,18.02,Rumble,BLG,0.864,0.9194,0.9593
1110,18.52,Rumble,BLG,0.895,0.9241,0.9579
1140,19.02,Rumble,BLG,0.769,0.9241,0.9585
1170,19.52,Rumble,BLG,0.756,0.9240,0.9585
1200,20.02,Rumble,BLG,0.763,0.9240,0.9585
1230,20.52,Rumble,BLG,0.782,0.9212,0.9585
1260,21.02,Rumble,BLG,0.780,0.9175,0.9584
1290,21.52,Rumble,BLG,0.791,0.9216,0.9585
1320,22.02,Rumble,BLG,0.786,0.9186,0.9584
1350,22.52,Rumble,BLG,0.778,0.9175,0.9584
1380,23.02,Rumble,BLG,0.778,0.9172,0.9584
1410,23.52,Rumble,BLG,0.679,0.9181,0.9587
1440,24.02,Rumble,BLG,0.694,0.9181,0.9587
1470,24.52,Rumble,BLG,0.711,0.9191,0.9595
1500,25.03,Rumble,BLG,0.704,0.9192,0.9595
1530,25.53,Rumble,BLG,0.699,0.9193,0.9595
1560,26.03,Rumble,BLG,0.736,0.9194,0.9596
1590,26.53,Rumble,BLG,0.711,0.9195,0.9596
1620,27.03,Rumble,BLG,0.718,0.9192,0.9596
1650,27.53,Rumble,BLG,0.731,0.9220,0.9592
1680,28.03,Rumble,BLG,0.682,0.9220,0.9591
1710,28.53,Rumble,BLG,0.727,0.9219,0.9592
1740,29.03,Rumble,BLG,0.625,0.9199,0.9592
1770,29.53,Rumble,BLG,0.881,0.9232,0.9587
1800,30.03,Rumble,BLG,0.750,0.9192,0.9592
1830,30.53,Rumble,BLG,0.756,0.9221,0.9586
1860,31.03,Rumble,BLG,0.830,0.9214,0.9585
1890,31.53,Rumble,BLG,0.787,0.9222,0.9584
1920,32.03,Rumble,BLG,0.796,0.9183,0.9589
1950,32.53,Rumble,BLG,0.846,0.9234,0.9582
1980,33.03,Rumble,BLG,0.855,0.9228,0.9583
2010,33.53,Rumble,BLG,0.854,0.9226,0.9584
2040,34.03,Rumble,BLG,0.816,0.9235,0.9582
2070,34.53,Rumble,BLG,0.677,0.9236,0.9585
2100,35.04,Rumble,BLG,0.661,0.9221,0.9586
2130,35.54,Rumble,BLG,0.663,0.9221,0.9586
2160,36.04,Rumble,BLG,0.873,0.9230,0.9583
2190,36.54,Rumble,BLG,0.585,0.9182,0.9589
2220,37.04,Rumble,BLG,0.564,0.9185,0.9588
2250,37.54,Rumble,BLG,0.590,0.9202,0.9588
2280,38.04,Rumble,BLG,0.526,0.9186,0.9589
2310,38.54,Rumble,BLG,0.592,0.9198,0.9588
2340,39.04,Rumble,BLG,0.507,0.9182,0.9589
2370,39.54,Rumble,BLG,0.752,0.9230,0.9585
2400,40.04,Rumble,BLG,0.822,0.9233,0.9584
2430,40.54,Rumble,BLG,0.433,0.9202,0.9586
2460,41.04,Rumble,BLG,0.662,0.9215,0.9587
2490,41.54,Rumble,BLG,0.733,0.9227,0.9583
2520,42.04,Rumble,BLG,0.841,0.9197,0.9586
2550,42.54,Rumble,BLG,0.636,0.9196,0.9591
2580,43.04,Rumble,BLG,0.804,0.9231,0.9585
2610,43.54,Rumble,BLG,0.721,0.9234,0.9585
2640,44.04,Rumble,BLG,0.638,0.9218,0.9590
2700,45.05,Rumble,BLG,0.494,0.9221,0.9587
2760,46.05,Rumble,BLG,0.550,0.9229,0.9586
2820,47.05,Rumble,BLG,0.423,0.9178,0.9589
2850,47.55,Rumble,BLG,0.373,0.9195,0.9587
2880,48.05,Rumble,BLG,0.871,0.9236,0.9578
2910,48.55,Rumble,BLG,0.445,0.9197,0.9590
2940,49.05,Rumble,BLG,0.509,0.9184,0.9587
2970,49.55,Rumble,BLG,0.647,0.9226,0.9583
3000,50.05,Rumble,BLG,0.692,0.9229,0.9583
3030,50.55,Rumble,BLG,0.657,0.9229,0.9583
3060,51.05,Rumble,BLG,0.728,0.9231,0.9582
3090,51.55,Rumble,BLG,0.828,0.9229,0.9583
3120,52.05,Rumble,BLG,0.780,0.9230,0.9582
3150,52.55,Rumble,BLG,0.828,0.9232,0.9578
3180,53.05,Rumble,BLG,0.831,0.9236,0.9589
3210,53.55,Rumble,BLG,0.773,0.9231,0.9588
3240,54.05,Rumble,BLG,0.572,0.9198,0.9589
3270,54.55,Rumble,BLG,0.415,0.9203,0.9591
3300,55.05,Rumble,BLG,0.466,0.9200,0.9591
3330,55.56,Rumble,BLG,0.459,0.9206,0.9591
3360,56.06,Rumble,BLG,0.454,0.9202,0.9591
3390,56.56,Rumble,BLG,0.484,0.9199,0.9591
3420,57.06,Rumble,BLG,0.552,0.9210,0.9591
3450,57.56,Rumble,BLG,0.557,0.9217,0.9591
3480,58.06,Rumble,BLG,0.546,0.9217,0.9590
3510,58.56,Rumble,BLG,0.562,0.9218,0.9590
3540,59.06,Rumble,BLG,0.582,0.9213,0.9591
3570,59.56,Rumble,BLG,0.530,0.9204,0.9591
3600,60.06,Rumble,BLG,0.401,0.9212,0.9590
3630,60.56,Rumble,BLG,0.785,0.9233,0.9586
3660,61.06,Rumble,BLG,0.777,0.9227,0.9586
3690,61.56,Rumble,BLG,0.756,0.9230,0.9585
3720,62.06,Rumble,BLG,0.778,0.9231,0.9586
3750,62.56,Rumble,BLG,0.763,0.9231,0.9585
3780,63.06,Rumble,BLG,0.761,0.9234,0.9585
3810,63.56,Rumble,BLG,0.753,0.9236,0.9585
3840,64.06,Rumble,BLG,0.780,0.9236,0.9585
3870,64.56,Rumble,BLG,0.896,0.9233,0.9583
3900,65.06,Rumble,BLG,0.889,0.9226,0.9586
3930,65.57,Rumble,BLG,0.861,0.9232,0.9583
3960,66.07,Rumble,BLG,0.705,0.9189,0.9586
3990,66.57,Rumble,BLG,0.788,0.9228,0.9588
4020,67.07,Rumble,BLG,0.818,0.9212,0.9584
4050,67.57,Rumble,BLG,0.893,0.9224,0.9582
4080,68.07,Rumble,BLG,0.821,0.9226,0.9587
4110,68.57,Rumble,BLG,0.841,0.9233,0.9587
4140,69.07,Rumble,BLG,0.816,0.9229,0.9587
4170,69.57,Rumble,BLG,0.874,0.9232,0.9588
4200,70.07,Rumble,BLG,0.801,0.9236,0.9589
4230,70.57,Rumble,BLG,0.802,0.9235,0.9589
4260,71.07,Rumble,BLG,0.708,0.9234,0.9588
4290,71.57,Rumble,BLG,0.790,0.9227,0.9589
4320,72.07,Rumble,BLG,0.787,0.9201,0.9591
4350,72.57,Rumble,BLG,0.666,0.9197,0.9591
4380,73.07,Rumble,BLG,0.675,0.9199,0.9591
4410,73.57,Rumble,BLG,0.694,0.9199,0.9592
4440,74.07,Rumble,BLG,0.754,0.9201,0.9592
4470,74.57,Rumble,BLG,0.789,0.9202,0.9592
4500,75.08,Rumble,BLG,0.784,0.9201,0.9592
4530,75.58,Rumble,BLG,0.771,0.9202,0.9592
4560,76.08,Rumble,BLG,0.749,0.9197,0.9594
4590,76.58,Rumble,BLG,0.734,0.9198,0.9593
4620,77.08,Rumble,BLG,0.639,0.9220,0.9590
4650,77.58,Rumble,BLG,0.707,0.9221,0.9587
4680,78.08,Rumble,BLG,0.800,0.9226,0.9588
4710,78.58,Rumble,BLG,0.723,0.9238,0.9585
4740,79.08,Rumble,BLG,0.757,0.9236,0.9586
4770,79.58,Rumble,BLG,0.820,0.9234,0.9582
4800,80.08,Rumble,BLG,0.781,0.9238,0.9584
4830,80.58,Rumble,BLG,0.749,0.9229,0.9585
4860,81.08,Rumble,BLG,0.821,0.9233,0.9581
4890,81.58,Rumble,BLG,0.785,0.9237,0.9585
4920,82.08,Rumble,BLG,0.803,0.9221,0.9580
4950,82.58,Rumble,BLG,0.882,0.9225,0.9582
4980,83.08,Rumble,BLG,0.856,0.9228,0.9583
5010,83.58,Rumble,BLG,0.770,0.9239,0.9586
5040,84.08,Rumble,BLG,0.791,0.9238,0.9585
5070,84.58,Rumble,BLG,0.716,0.9234,0.9589
5100,85.09,Rumble,BLG,0.851,0.9236,0.9588
5130,85.59,Rumble,BLG,0.801,0.9234,0.9586
5160,86.09,Rumble,BLG,0.766,0.9229,0.9588
5190,86.59,Rumble,BLG,0.922,0.9232,0.9590
5220,87.09,Rumble,BLG,0.894,0.9220,0.9587
5250,87.59,Rumble,BLG,0.754,0.9216,0.9584
5280,88.09,Rumble,BLG,0.806,0.9233,0.9586
5310,88.59,Rumble,BLG,0.897,0.9231,0.9591
5340,89.09,Rumble,BLG,0.892,0.9229,0.9592
5370,89.59,Rumble,BLG,0.904,0.9227,0.9592
5400,90.09,Rumble,BLG,0.921,0.9221,0.9593
5430,90.59,Rumble,BLG,0.725,0.9228,0.9587
5460,91.09,Rumble,BLG,0.670,0.9219,0.9588
5490,91.59,Rumble,BLG,0.669,0.9198,0.9582
5520,92.09,Rumble,BLG,0.696,0.9190,0.9588
