frame,time_s,champion,team,conf,x,y
0,0.00,Rumble,TES,0.729,0.9748,0.9428
30,0.50,Rumble,TES,0.723,0.9750,0.9428
60,1.00,Rumble,TES,0.724,0.9749,0.9428
90,1.50,Rumble,TES,0.738,0.9749,0.9427
120,2.00,Rumble,TES,0.717,0.9758,0.9420
150,2.50,Rumble,TES,0.729,0.9754,0.9432
180,3.00,Rumble,TES,0.846,0.9754,0.9435
210,3.50,Rumble,TES,0.753,0.9757,0.9425
300,5.00,Rumble,TES,0.385,0.9762,0.9415
330,5.51,Rumble,TES,0.411,0.9762,0.9409
360,6.01,Rumble,TES,0.421,0.9724,0.9405
390,6.51,Rumble,TES,0.424,0.9762,0.9413
420,7.01,Rumble,TES,0.863,0.9752,0.9425
450,7.51,Rumble,TES,0.899,0.9743,0.9424
480,8.01,Rumble,TES,0.895,0.9749,0.9422
510,8.51,Rumble,TES,0.886,0.9754,0.9428
540,9.01,Rumble,TES,0.884,0.9758,0.9436
570,9.51,Rumble,TES,0.788,0.9754,0.9422
600,10.01,Rumble,TES,0.738,0.9752,0.9426
630,10.51,Rumble,TES,0.794,0.9755,0.9420
660,11.01,Rumble,TES,0.802,0.9753,0.9432
690,11.51,Rumble,TES,0.845,0.9752,0.9428
720,12.01,Rumble,TES,0.763,0.9747,0.9425
750,12.51,Ornn,BLG,0.672,0.9757,0.9423
780,13.01,Ornn,BLG,0.426,0.9758,0.9430
870,14.51,Ornn,BLG,0.358,0.9756,0.9419
900,15.02,Ornn,BLG,0.696,0.9755,0.9419
930,15.52,Ornn,BLG,0.694,0.9755,0.9419
960,16.02,Ornn,BLG,0.724,0.9752,0.9419
990,16.52,Ornn,BLG,0.716,0.9757,0.9420
1020,17.02,Ornn,BLG,0.464,0.9748,0.9427
1080,18.02,Rumble,TES,0.399,0.9750,0.9439
1140,19.02,Rumble,TES,0.542,0.9726,0.9421
1170,19.52,Rumble,TES,0.383,0.9747,0.9433
1530,25.53,Ornn,BLG,0.534,0.9749,0.9423
1560,26.03,Ornn,BLG,0.522,0.9749,0.9424
1590,26.53,Ornn,BLG,0.516,0.9748,0.9425
1620,27.03,Ornn,BLG,0.512,0.9752,0.9422
1650,27.53,Ornn,BLG,0.518,0.9752,0.9422
1680,28.03,Ornn,BLG,0.534,0.9749,0.9426
1710,28.53,Ornn,BLG,0.525,0.9749,0.9426
1740,29.03,Ornn,BLG,0.670,0.9754,0.9427
1770,29.53,Ornn,BLG,0.668,0.9744,0.9424
1800,30.03,Ornn,BLG,0.572,0.9756,0.9429
1830,30.53,Ornn,BLG,0.631,0.9757,0.9428
1860,31.03,Ornn,BLG,0.694,0.9756,0.9426
1890,31.53,Ornn,BLG,0.690,0.9756,0.9429
1920,32.03,Ornn,BLG,0.775,0.9753,0.9424
1950,32.53,Ornn,BLG,0.502,0.9759,0.9434
2040,34.03,Ornn,BLG,0.412,0.9755,0.9421
2100,35.04,Ornn,BLG,0.386,0.9753,0.9421
2130,35.54,Ornn,BLG,0.468,0.9752,0.9423
2160,36.04,Ornn,BLG,0.488,0.9752,0.9423
2430,40.54,Rumble,TES,0.431,0.9728,0.9426
2610,43.54,Rumble,TES,0.475,0.9754,0.9428
2640,44.04,Rumble,TES,0.390,0.9751,0.9439
