frame,time_s,champion,team,conf,x,y
0,0.00,Renekton,T1,0.680,0.4058,0.8196
30,0.50,Renekton,T1,0.618,0.4058,0.8195
60,1.00,Renekton,T1,0.629,0.4058,0.8195
90,1.50,Renekton,T1,0.644,0.4058,0.8195
120,2.00,Renekton,T1,0.615,0.4058,0.8195
150,2.50,Renekton,T1,0.558,0.4059,0.8196
180,3.00,Renekton,T1,0.571,0.4059,0.8196
210,3.50,Renekton,T1,0.566,0.4059,0.8196
240,4.00,Renekton,T1,0.551,0.4058,0.8196
270,4.50,Renekton,T1,0.540,0.4058,0.8196
300,5.00,Renekton,T1,0.521,0.4058,0.8195
330,5.51,Renekton,T1,0.523,0.4058,0.8194
360,6.01,Renekton,T1,0.519,0.4058,0.8194
390,6.51,Renekton,T1,0.541,0.4058,0.8195
420,7.01,Renekton,T1,0.584,0.4063,0.8195
450,7.51,Renekton,T1,0.584,0.4063,0.8195
480,8.01,Renekton,T1,0.569,0.4063,0.8195
510,8.51,Renekton,T1,0.563,0.4064,0.8195
540,9.01,Renekton,T1,0.596,0.4063,0.8195
570,9.51,Renekton,T1,0.593,0.4063,0.8195
600,10.01,Renekton,T1,0.592,0.4063,0.8195
630,10.51,Renekton,T1,0.598,0.4062,0.8196
660,11.01,Renekton,T1,0.704,0.4057,0.8197
690,11.51,Renekton,T1,0.617,0.4059,0.8197
720,12.01,Renekton,T1,0.627,0.4059,0.8197
750,12.51,Renekton,T1,0.622,0.4059,0.8197
780,13.01,Renekton,T1,0.618,0.4059,0.8196
810,13.51,Renekton,T1,0.624,0.4059,0.8197
840,14.01,Renekton,T1,0.728,0.4058,0.8196
870,14.51,Renekton,T1,0.698,0.4058,0.8196
900,15.02,Renekton,T1,0.698,0.4058,0.8196
930,15.52,Renekton,T1,0.699,0.4058,0.8196
960,16.02,Renekton,T1,0.698,0.4058,0.8196
990,16.52,Renekton,T1,0.700,0.4058,0.8196
1020,17.02,Renekton,T1,0.697,0.4058,0.8196
1050,17.52,Renekton,T1,0.715,0.4058,0.8196
1080,18.02,Renekton,T1,0.715,0.4061,0.8195
1110,18.52,Renekton,T1,0.684,0.4062,0.8195
1140,19.02,Renekton,T1,0.679,0.4062,0.8195
1170,19.52,Renekton,T1,0.688,0.4062,0.8195
1200,20.02,Renekton,T1,0.673,0.4059,0.8196
1230,20.52,Renekton,T1,0.680,0.4059,0.8196
1260,21.02,Renekton,T1,0.740,0.4060,0.8196
1290,21.52,Renekton,T1,0.714,0.4061,0.8195
1320,22.02,Renekton,T1,0.767,0.4059,0.8195
1350,22.52,Renekton,T1,0.601,0.4060,0.8194
1380,23.02,Renekton,T1,0.645,0.4062,0.8195
1410,23.52,Renekton,T1,0.635,0.4061,0.8195
1440,24.02,Renekton,T1,0.634,0.4061,0.8195
1470,24.52,Renekton,T1,0.699,0.4059,0.8196
1500,25.03,Renekton,T1,0.718,0.4058,0.8196
1530,25.53,Renekton,T1,0.717,0.4058,0.8196
1560,26.03,Renekton,T1,0.705,0.4060,0.8196
1590,26.53,Renekton,T1,0.695,0.4061,0.8196
1620,27.03,Renekton,T1,0.678,0.4061,0.8195
1650,27.53,Renekton,T1,0.687,0.4061,0.8196
1680,28.03,Renekton,T1,0.678,0.4061,0.8195
1710,28.53,Renekton,T1,0.678,0.4059,0.8196
1740,29.03,Renekton,T1,0.584,0.4056,0.8194
1770,29.53,Renekton,T1,0.561,0.4058,0.8193
1800,30.03,Renekton,T1,0.529,0.4060,0.8195
1830,30.53,Renekton,T1,0.542,0.4060,0.8195
1860,31.03,Renekton,T1,0.558,0.4060,0.8195
1890,31.53,Renekton,T1,0.562,0.4060,0.8194
1920,32.03,Renekton,T1,0.560,0.4059,0.8194
1950,32.53,Renekton,T1,0.557,0.4058,0.8193
1980,33.03,Renekton,T1,0.563,0.4058,0.8193
2010,33.53,Renekton,T1,0.549,0.4058,0.8194
2040,34.03,Renekton,T1,0.835,0.4057,0.8196
2070,34.53,Renekton,T1,0.820,0.4058,0.8196
2100,35.04,Renekton,T1,0.825,0.4060,0.8195
2130,35.54,Renekton,T1,0.817,0.4060,0.8195
2160,36.04,Renekton,T1,0.807,0.4060,0.8196
2190,36.54,Renekton,T1,0.800,0.4060,0.8195
2220,37.04,Renekton,T1,0.793,0.4060,0.8195
2250,37.54,Renekton,T1,0.773,0.4060,0.8195
2280,38.04,Renekton,T1,0.760,0.4062,0.8195
2310,38.54,Renekton,T1,0.807,0.4066,0.8197
2340,39.04,Renekton,T1,0.732,0.4062,0.8196
2370,39.54,Renekton,T1,0.727,0.4062,0.8196
2400,40.04,Renekton,T1,0.784,0.4062,0.8196
2430,40.54,Renekton,T1,0.778,0.4061,0.8196
2460,41.04,Renekton,T1,0.754,0.5520,0.8201
2490,41.54,Renekton,T1,0.758,0.5520,0.8201
2520,42.04,Renekton,T1,0.730,0.7800,0.8196
2550,42.54,Renekton,T1,0.771,0.7932,0.8204
2550,42.54,Viktor,T1,0.386,0.4095,0.8686
2580,43.04,Renekton,T1,0.764,0.7932,0.8204
2580,43.04,Viktor,T1,0.390,0.4094,0.8686
2610,43.54,Renekton,T1,0.706,0.7929,0.8203
2610,43.54,Viktor,T1,0.492,0.4089,0.8685
2640,44.04,KSante,KT,0.900,0.7935,0.8203
2640,44.04,Viktor,T1,0.441,0.4095,0.8687
2670,44.54,KSante,KT,0.919,0.7935,0.8200
2670,44.54,Viktor,T1,0.395,0.4096,0.8689
2700,45.05,KSante,KT,0.906,0.7935,0.8200
2700,45.05,Viktor,T1,0.415,0.4094,0.8689
2730,45.55,KSante,KT,0.798,0.6001,0.8195
2760,46.05,KSante,KT,0.658,0.1234,0.8197
2760,46.05,Alistar,KT,0.604,0.1190,0.9413
2760,46.05,Renekton,T1,0.394,0.9742,0.7169
2790,46.55,KSante,KT,0.398,0.4130,0.8198
2790,46.55,Renekton,T1,0.355,0.9742,0.7168
2820,47.05,Renekton,T1,0.361,0.9742,0.7169
2850,47.55,Renekton,T1,0.360,0.9742,0.7169
2970,49.55,Renekton,T1,0.361,0.9741,0.7168
3060,51.05,Renekton,T1,0.366,0.9742,0.7169
3090,51.55,Renekton,T1,0.364,0.9741,0.7169
3120,52.05,Renekton,T1,0.370,0.9742,0.7168
3150,52.55,Renekton,T1,0.562,0.4059,0.8192
3180,53.05,Renekton,T1,0.601,0.4059,0.8193
3210,53.55,Renekton,T1,0.590,0.4059,0.8193
3240,54.05,Renekton,T1,0.574,0.4058,0.8192
3270,54.55,Renekton,T1,0.574,0.4059,0.8192
3300,55.05,Renekton,T1,0.597,0.4060,0.8194
3330,55.56,Renekton,T1,0.599,0.4060,0.8194
3360,56.06,Renekton,T1,0.602,0.4060,0.8194
3390,56.56,Renekton,T1,0.626,0.4060,0.8193
3420,57.06,Renekton,T1,0.623,0.4060,0.8194
3450,57.56,Renekton,T1,0.626,0.4059,0.8195
3480,58.06,Renekton,T1,0.623,0.4059,0.8195
3510,58.56,Renekton,T1,0.836,0.4061,0.8194
3540,59.06,Renekton,T1,0.811,0.4060,0.8194
3570,59.56,Renekton,T1,0.813,0.4059,0.8194
3600,60.06,Renekton,T1,0.815,0.4059,0.8194
3630,60.56,Renekton,T1,0.823,0.4060,0.8194
3660,61.06,Renekton,T1,0.824,0.4060,0.8195
3690,61.56,Renekton,T1,0.823,0.4060,0.8195
3720,62.06,Renekton,T1,0.821,0.4062,0.8195
3750,62.56,Renekton,T1,0.822,0.4061,0.8195
3780,63.06,Renekton,T1,0.822,0.4061,0.8195
3810,63.56,Renekton,T1,0.820,0.4061,0.8195
3840,64.06,Renekton,T1,0.609,0.4063,0.8197
3870,64.56,Renekton,T1,0.637,0.4062,0.8197
3900,65.06,Renekton,T1,0.642,0.4061,0.8197
3930,65.57,Renekton,T1,0.630,0.4061,0.8197
3960,66.07,Renekton,T1,0.637,0.4061,0.8197
3990,66.57,Renekton,T1,0.624,0.4062,0.8195
4020,67.07,Renekton,T1,0.625,0.4061,0.8197
4050,67.57,Renekton,T1,0.621,0.4062,0.8195
4080,68.07,Renekton,T1,0.716,0.4062,0.8195
4110,68.57,Renekton,T1,0.648,0.4061,0.8195
4140,69.07,Renekton,T1,0.641,0.4062,0.8195
4170,69.57,Renekton,T1,0.646,0.4061,0.8197
4200,70.07,Renekton,T1,0.810,0.4058,0.8195
4230,70.57,Renekton,T1,0.814,0.4058,0.8195
4260,71.07,Renekton,T1,0.777,0.4059,0.8195
4290,71.57,Renekton,T1,0.767,0.4058,0.8195
4320,72.07,Renekton,T1,0.767,0.4058,0.8195
4350,72.57,Renekton,T1,0.769,0.4059,0.8195
4380,73.07,Renekton,T1,0.769,0.4059,0.8195
4410,73.57,Renekton,T1,0.769,0.4059,0.8195
4440,74.07,Renekton,T1,0.768,0.4059,0.8196
4470,74.57,Renekton,T1,0.773,0.4059,0.8196
4500,75.08,Renekton,T1,0.782,0.4058,0.8196
4530,75.58,Renekton,T1,0.773,0.4057,0.8195
4560,76.08,Renekton,T1,0.697,0.4060,0.8195
4590,76.58,Renekton,T1,0.701,0.4061,0.8195
4620,77.08,Renekton,T1,0.700,0.4061,0.8195
4650,77.58,Renekton,T1,0.692,0.4060,0.8195
4680,78.08,Renekton,T1,0.743,0.4060,0.8195
4710,78.58,Renekton,T1,0.721,0.4061,0.8195
4740,79.08,Renekton,T1,0.715,0.4061,0.8195
4770,79.58,Renekton,T1,0.734,0.4062,0.8196
4800,80.08,Renekton,T1,0.741,0.4061,0.8196
4830,80.58,Renekton,T1,0.733,0.4061,0.8196
4860,81.08,Renekton,T1,0.728,0.4062,0.8196
4890,81.58,Renekton,T1,0.734,0.4061,0.8195
4920,82.08,Renekton,T1,0.649,0.4058,0.8194
4950,82.58,Renekton,T1,0.635,0.4061,0.8194
4980,83.08,Renekton,T1,0.648,0.4060,0.8194
5010,83.58,Renekton,T1,0.651,0.4060,0.8194
5040,84.08,Renekton,T1,0.661,0.4060,0.8194
5070,84.58,Renekton,T1,0.620,0.4061,0.8194
5100,85.09,Renekton,T1,0.616,0.4061,0.8196
5130,85.59,Renekton,T1,0.637,0.4061,0.8196
5160,86.09,Renekton,T1,0.654,0.4060,0.8196
5190,86.59,Renekton,T1,0.661,0.4059,0.8195
5220,87.09,Renekton,T1,0.673,0.4059,0.8195
5250,87.59,Renekton,T1,0.671,0.4060,0.8196
5280,88.09,Renekton,T1,0.664,0.4062,0.8195
5310,88.59,Renekton,T1,0.663,0.4062,0.8195
5340,89.09,Renekton,T1,0.754,0.4060,0.8196
5370,89.59,Renekton,T1,0.648,0.4059,0.8195
5400,90.09,Renekton,T1,0.644,0.4059,0.8195
5430,90.59,Renekton,T1,0.600,0.4059,0.8195
5460,91.09,Renekton,T1,0.607,0.4059,0.8195
5490,91.59,Renekton,T1,0.589,0.4060,0.8195
5520,92.09,Renekton,T1,0.566,0.4059,0.8194
5550,92.59,Renekton,T1,0.566,0.4059,0.8194
5580,93.09,Renekton,T1,0.559,0.4060,0.8194
5610,93.59,Renekton,T1,0.645,0.4062,0.8193
5640,94.09,Renekton,T1,0.651,0.4062,0.8194
5670,94.59,Renekton,T1,0.653,0.4062,0.8194
5700,95.09,Renekton,T1,0.648,0.4062,0.8194
5730,95.60,Renekton,T1,0.647,0.4062,0.8194
5760,96.10,Renekton,T1,0.668,0.4062,0.8194
5790,96.60,Renekton,T1,0.666,0.4062,0.8194
5820,97.10,Renekton,T1,0.661,0.4061,0.8194
5850,97.60,Renekton,T1,0.623,0.4062,0.8194
5880,98.10,Renekton,T1,0.564,0.4063,0.8195
5910,98.60,Renekton,T1,0.571,0.4063,0.8195
5940,99.10,Renekton,T1,0.636,0.4060,0.8195
5970,99.60,Renekton,T1,0.632,0.4059,0.8194
6000,100.10,Renekton,T1,0.613,0.4059,0.8193
6030,100.60,Renekton,T1,0.608,0.4059,0.8193
6060,101.10,Renekton,T1,0.626,0.4059,0.8193
6090,101.60,Renekton,T1,0.643,0.4059,0.8194
6120,102.10,Renekton,T1,0.799,0.4056,0.8195
6150,102.60,Renekton,T1,0.791,0.4056,0.8194
6180,103.10,Renekton,T1,0.779,0.4057,0.8194
6210,103.60,Renekton,T1,0.781,0.4057,0.8194
6240,104.10,Renekton,T1,0.783,0.4057,0.8195
6270,104.60,Renekton,T1,0.780,0.4056,0.8195
6300,105.11,Renekton,T1,0.778,0.4057,0.8195
6330,105.61,Renekton,T1,0.775,0.4056,0.8195
6360,106.11,Renekton,T1,0.822,0.4058,0.8194
6390,106.61,Renekton,T1,0.818,0.4058,0.8194
6420,107.11,Renekton,T1,0.827,0.4058,0.8194
6450,107.61,Renekton,T1,0.829,0.4057,0.8194
6480,108.11,Renekton,T1,0.830,0.4057,0.8194
6510,108.61,Renekton,T1,0.848,0.4058,0.8194
6540,109.11,Renekton,T1,0.700,0.4057,0.8195
6540,109.11,Viktor,T1,0.354,0.4044,0.9443
6570,109.61,Renekton,T1,0.711,0.4059,0.8194
6570,109.61,Viktor,T1,0.356,0.4044,0.9443
6600,110.11,Renekton,T1,0.767,0.4058,0.8193
6630,110.61,Renekton,T1,0.762,0.4058,0.8194
6660,111.11,Renekton,T1,0.755,0.4058,0.8194
6690,111.61,Renekton,T1,0.720,0.4057,0.8195
6720,112.11,Renekton,T1,0.710,0.4057,0.8195
6750,112.61,Renekton,T1,0.725,0.4057,0.8195
6780,113.11,Renekton,T1,0.722,0.4058,0.8195
6810,113.61,Renekton,T1,0.561,0.4057,0.8194
6840,114.11,Renekton,T1,0.721,0.4060,0.8195
6870,114.61,Renekton,T1,0.762,0.4060,0.8194
6900,115.12,Renekton,T1,0.756,0.4061,0.8195
6930,115.62,Renekton,T1,0.755,0.4061,0.8195
6960,116.12,Renekton,T1,0.759,0.4060,0.8194
6990,116.62,Renekton,T1,0.747,0.4060,0.8194
7020,117.12,Renekton,T1,0.748,0.4060,0.8194
7050,117.62,Renekton,T1,0.748,0.4059,0.8194
7080,118.12,KSante,KT,0.480,0.5119,0.8198
7110,118.62,Renekton,T1,0.441,0.5526,0.8200
7140,119.12,Renekton,T1,0.428,0.5528,0.8199
7170,119.62,Renekton,T1,0.379,0.5527,0.8199
7200,120.12,Renekton,T1,0.453,0.5526,0.8199
7200,120.12,Alistar,KT,0.356,0.1208,0.9428
7230,120.62,Renekton,T1,0.420,0.5525,0.8200
7260,121.12,Renekton,T1,0.704,0.5522,0.8200
7290,121.62,Renekton,T1,0.670,0.5523,0.8199
7320,122.12,Renekton,T1,0.661,0.5522,0.8199
7350,122.62,Renekton,T1,0.739,0.4344,0.8198
7380,123.12,Renekton,T1,0.753,0.4062,0.8195
7410,123.62,Renekton,T1,0.759,0.4062,0.8195
7440,124.12,Renekton,T1,0.752,0.4062,0.8195
7470,124.62,Renekton,T1,0.711,0.4060,0.8196
7500,125.12,Renekton,T1,0.702,0.4060,0.8196
7530,125.63,Renekton,T1,0.702,0.4060,0.8196
7560,126.13,Renekton,T1,0.716,0.4060,0.8195
7590,126.63,Renekton,T1,0.699,0.4062,0.8195
7620,127.13,Renekton,T1,0.697,0.4062,0.8195
7650,127.63,Renekton,T1,0.716,0.4062,0.8194
7680,128.13,Renekton,T1,0.803,0.4058,0.8194
7710,128.63,Renekton,T1,0.803,0.4058,0.8194
7740,129.13,Renekton,T1,0.804,0.4058,0.8194
7770,129.63,Renekton,T1,0.803,0.4058,0.8194
7800,130.13,Renekton,T1,0.800,0.4058,0.8194
