frame,time_s,champion,team,conf,x,y
0,0.00,Sion,T1,0.910,0.4086,0.9429
30,0.50,Sion,T1,0.921,0.4091,0.9429
30,0.50,RekSai,KT,0.545,0.9786,0.7375
60,1.00,Sion,T1,0.915,0.4088,0.9429
90,1.50,Sion,T1,0.875,0.4071,0.9425
90,1.50,RekSai,KT,0.555,0.9775,0.7372
120,2.00,Sion,T1,0.881,0.4070,0.9425
120,2.00,RekSai,KT,0.496,0.9770,0.7374
150,2.50,Sion,T1,0.867,0.4066,0.9424
150,2.50,RekSai,KT,0.465,0.9768,0.7375
180,3.00,Sion,T1,0.870,0.4069,0.9424
180,3.00,RekSai,KT,0.621,0.9773,0.7375
210,3.50,Sion,T1,0.867,0.4073,0.9424
210,3.50,RekSai,KT,0.609,0.9775,0.7373
240,4.00,Sion,T1,0.864,0.4074,0.9424
240,4.00,RekSai,KT,0.629,0.9777,0.7373
270,4.50,Sion,T1,0.900,0.4085,0.9426
270,4.50,RekSai,KT,0.462,0.9783,0.7375
300,5.00,Sion,T1,0.894,0.4079,0.9426
300,5.00,RekSai,KT,0.529,0.9778,0.7377
330,5.51,Sion,T1,0.900,0.4081,0.9425
330,5.51,RekSai,KT,0.599,0.9777,0.7377
360,6.01,Sion,T1,0.903,0.4083,0.9425
360,6.01,RekSai,KT,0.591,0.9778,0.7376
390,6.51,Sion,T1,0.905,0.4089,0.9425
390,6.51,RekSai,KT,0.645,0.9784,0.7371
420,7.01,Sion,T1,0.908,0.4084,0.9425
420,7.01,RekSai,KT,0.677,0.9782,0.7371
450,7.51,Sion,T1,0.910,0.4082,0.9424
450,7.51,RekSai,KT,0.663,0.9778,0.7372
480,8.01,Sion,T1,0.903,0.4080,0.9424
480,8.01,RekSai,KT,0.679,0.9781,0.7373
510,8.51,Sion,T1,0.902,0.4069,0.9429
510,8.51,RekSai,KT,0.718,0.9773,0.7375
540,9.01,Sion,T1,0.905,0.4071,0.9429
540,9.01,RekSai,KT,0.723,0.9776,0.7378
570,9.51,Sion,T1,0.909,0.4079,0.9429
570,9.51,RekSai,KT,0.716,0.9781,0.7370
600,10.01,Sion,T1,0.911,0.4084,0.9429
600,10.01,RekSai,KT,0.708,0.9783,0.7370
630,10.51,Sion,T1,0.908,0.4081,0.9429
630,10.51,RekSai,KT,0.715,0.9782,0.7371
660,11.01,Sion,T1,0.910,0.4080,0.9429
660,11.01,RekSai,KT,0.691,0.9782,0.7371
690,11.51,Sion,T1,0.907,0.4080,0.9428
690,11.51,RekSai,KT,0.707,0.9781,0.7371
720,12.01,Sion,T1,0.904,0.4080,0.9428
720,12.01,RekSai,KT,0.704,0.9782,0.7371
750,12.51,Sion,T1,0.909,0.4078,0.9428
750,12.51,RekSai,KT,0.733,0.9780,0.7372
780,13.01,Sion,T1,0.908,0.4079,0.9428
780,13.01,RekSai,KT,0.728,0.9782,0.7371
810,13.51,Sion,T1,0.917,0.4073,0.9429
810,13.51,RekSai,KT,0.743,0.9777,0.7369
840,14.01,Sion,T1,0.934,0.4079,0.9429
840,14.01,RekSai,KT,0.725,0.9784,0.7367
870,14.51,Sion,T1,0.938,0.4079,0.9429
870,14.51,RekSai,KT,0.726,0.9783,0.7367
900,15.02,Sion,T1,0.938,0.4079,0.9429
900,15.02,RekSai,KT,0.725,0.9783,0.7367
930,15.52,Sion,T1,0.934,0.4090,0.9429
960,16.02,Sion,T1,0.935,0.4090,0.9429
990,16.52,Sion,T1,0.934,0.4089,0.9429
1020,17.02,Sion,T1,0.934,0.4090,0.9429
1050,17.52,Sion,T1,0.934,0.4089,0.9429
1080,18.02,Sion,T1,0.934,0.4090,0.9429
1110,18.52,Sion,T1,0.911,0.4072,0.9428
1140,19.02,Sion,T1,0.898,0.4075,0.9427
1170,19.52,Sion,T1,0.889,0.4070,0.9427
1200,20.02,Sion,T1,0.899,0.4064,0.9427
1230,20.52,Sion,T1,0.867,0.4075,0.9427
1260,21.02,Sion,T1,0.858,0.4073,0.9427
1290,21.52,Sion,T1,0.845,0.4065,0.9426
1320,22.02,Sion,T1,0.790,0.4071,0.9426
1350,22.52,Sion,T1,0.872,0.4062,0.9427
1350,22.52,RekSai,KT,0.406,0.9749,0.7368
1380,23.02,Sion,T1,0.810,0.4072,0.9426
1410,23.52,Sion,T1,0.829,0.4066,0.9426
1410,23.52,RekSai,KT,0.351,0.9763,0.7370
1440,24.02,Sion,T1,0.859,0.4072,0.9426
1470,24.52,Sion,T1,0.902,0.4062,0.9428
1470,24.52,RekSai,KT,0.416,0.9752,0.7369
1500,25.03,Sion,T1,0.897,0.4065,0.9427
1500,25.03,RekSai,KT,0.489,0.9758,0.7370
1530,25.53,Sion,T1,0.900,0.4077,0.9427
1530,25.53,RekSai,KT,0.650,0.9786,0.7363
1560,26.03,Sion,T1,0.915,0.4073,0.9428
1560,26.03,RekSai,KT,0.538,0.9773,0.7364
1590,26.53,Sion,T1,0.926,0.4071,0.9429
1590,26.53,RekSai,KT,0.520,0.9768,0.7365
1620,27.03,Sion,T1,0.926,0.4070,0.9429
1620,27.03,RekSai,KT,0.502,0.9765,0.7365
1650,27.53,Sion,T1,0.924,0.4084,0.9428
1680,28.03,Sion,T1,0.929,0.4082,0.9428
1680,28.03,RekSai,KT,0.571,0.9778,0.7366
1710,28.53,Sion,T1,0.931,0.4075,0.9426
1710,28.53,RekSai,KT,0.569,0.9775,0.7368
1740,29.03,Sion,T1,0.937,0.4087,0.9428
1740,29.03,RekSai,KT,0.626,0.9785,0.7367
1770,29.53,Sion,T1,0.935,0.4078,0.9427
1770,29.53,RekSai,KT,0.559,0.9779,0.7368
1800,30.03,Sion,T1,0.935,0.4078,0.9427
1800,30.03,RekSai,KT,0.606,0.9779,0.7367
1830,30.53,Sion,T1,0.933,0.4060,0.9427
1830,30.53,RekSai,KT,0.449,0.9749,0.7366
1860,31.03,Sion,T1,0.927,0.4069,0.9427
1860,31.03,RekSai,KT,0.433,0.9773,0.7367
1890,31.53,Sion,T1,0.910,0.4072,0.9426
1890,31.53,RekSai,KT,0.537,0.9773,0.7368
1920,32.03,Sion,T1,0.882,0.4078,0.9429
1920,32.03,RekSai,KT,0.353,0.9779,0.7366
1950,32.53,Sion,T1,0.927,0.4077,0.9424
1950,32.53,RekSai,KT,0.496,0.9777,0.7370
1980,33.03,Sion,T1,0.927,0.4078,0.9424
1980,33.03,RekSai,KT,0.493,0.9777,0.7370
2010,33.53,Sion,T1,0.928,0.4077,0.9425
2010,33.53,RekSai,KT,0.516,0.9777,0.7371
2040,34.03,Sion,T1,0.925,0.4075,0.9425
2040,34.03,RekSai,KT,0.512,0.9775,0.7371
2070,34.53,Sion,T1,0.926,0.4077,0.9425
2070,34.53,RekSai,KT,0.508,0.9777,0.7369
2100,35.04,Sion,T1,0.925,0.4077,0.9425
2100,35.04,RekSai,KT,0.514,0.9777,0.7369
2130,35.54,Sion,T1,0.924,0.4072,0.9425
2130,35.54,RekSai,KT,0.562,0.9773,0.7370
2160,36.04,Sion,T1,0.926,0.4072,0.9425
2160,36.04,RekSai,KT,0.542,0.9773,0.7371
2190,36.54,Sion,T1,0.896,0.4060,0.9424
2220,37.04,Sion,T1,0.896,0.4059,0.9423
2250,37.54,Sion,T1,0.803,0.4068,0.9424
2280,38.04,Sion,T1,0.862,0.4066,0.9425
2310,38.54,Sion,T1,0.899,0.4061,0.9425
2340,39.04,Sion,T1,0.881,0.4060,0.9425
2370,39.54,Sion,T1,0.886,0.4072,0.9426
2400,40.04,Sion,T1,0.898,0.4080,0.9426
2430,40.54,Sion,T1,0.922,0.4069,0.9427
2460,41.04,Sion,T1,0.877,0.4064,0.9426
2490,41.54,Sion,T1,0.864,0.4076,0.9426
2520,42.04,Sion,T1,0.864,0.4065,0.9424
2550,42.54,Sion,T1,0.868,0.4068,0.9424
2580,43.04,Sion,T1,0.838,0.4074,0.9423
2610,43.54,Sion,T1,0.787,0.4079,0.9423
2640,44.04,Sion,T1,0.863,0.4062,0.9424
2670,44.54,Sion,T1,0.855,0.4064,0.9424
2700,45.05,Sion,T1,0.845,0.4073,0.9426
2730,45.55,Sion,T1,0.837,0.4080,0.9426
2760,46.05,Sion,T1,0.857,0.4080,0.9427
2790,46.55,Sion,T1,0.866,0.4073,0.9426
2820,47.05,Sion,T1,0.880,0.4077,0.9427
2850,47.55,Sion,T1,0.896,0.4071,0.9427
2880,48.05,Sion,T1,0.912,0.4071,0.9427
2910,48.55,Sion,T1,0.911,0.4081,0.9427
2940,49.05,Sion,T1,0.915,0.4081,0.9427
2940,49.05,RekSai,KT,0.545,0.9781,0.7367
2970,49.55,Sion,T1,0.915,0.4079,0.9427
2970,49.55,RekSai,KT,0.494,0.9779,0.7369
3000,50.05,Sion,T1,0.916,0.4084,0.9427
3000,50.05,RekSai,KT,0.489,0.9783,0.7367
3030,50.55,Sion,T1,0.931,0.4070,0.9428
3060,51.05,Sion,T1,0.931,0.4069,0.9428
3090,51.55,Sion,T1,0.931,0.4066,0.9427
3120,52.05,Sion,T1,0.931,0.4068,0.9427
3150,52.55,Sion,T1,0.928,0.4066,0.9427
3180,53.05,Sion,T1,0.927,0.4066,0.9427
3210,53.55,Sion,T1,0.925,0.4067,0.9427
3240,54.05,Sion,T1,0.925,0.4067,0.9427
3270,54.55,Sion,T1,0.883,0.4082,0.9426
3270,54.55,RekSai,KT,0.661,0.9785,0.7373
3300,55.05,Sion,T1,0.879,0.4078,0.9426
3300,55.05,RekSai,KT,0.684,0.9784,0.7373
3330,55.56,Sion,T1,0.873,0.4078,0.9426
3330,55.56,RekSai,KT,0.630,0.9783,0.7373
3360,56.06,Sion,T1,0.873,0.4077,0.9426
3360,56.06,RekSai,KT,0.628,0.9783,0.7374
3390,56.56,Sion,T1,0.881,0.4076,0.9425
3390,56.56,RekSai,KT,0.601,0.9781,0.7374
3420,57.06,Sion,T1,0.889,0.4082,0.9425
3420,57.06,RekSai,KT,0.653,0.9784,0.7372
3450,57.56,Sion,T1,0.902,0.4073,0.9428
3450,57.56,RekSai,KT,0.500,0.9775,0.7375
3480,58.06,Sion,T1,0.930,0.4090,0.9427
3510,58.56,Sion,T1,0.933,0.4092,0.9427
3510,58.56,RekSai,KT,0.622,0.9786,0.7365
3540,59.06,Sion,T1,0.938,0.4093,0.9427
3540,59.06,RekSai,KT,0.409,0.9785,0.7368
3570,59.56,Sion,T1,0.921,0.4082,0.9427
3570,59.56,RekSai,KT,0.441,0.9782,0.7367
3600,60.06,Sion,T1,0.917,0.4083,0.9427
3600,60.06,RekSai,KT,0.438,0.9783,0.7366
3630,60.56,Sion,T1,0.933,0.4090,0.9427
3630,60.56,RekSai,KT,0.501,0.9785,0.7366
3660,61.06,Sion,T1,0.934,0.4092,0.9428
3660,61.06,RekSai,KT,0.565,0.9785,0.7367
3690,61.56,Sion,T1,0.937,0.4092,0.9429
3720,62.06,Sion,T1,0.931,0.4090,0.9429
3750,62.56,Sion,T1,0.927,0.4088,0.9428
3780,63.06,Sion,T1,0.918,0.4085,0.9428
3810,63.56,Sion,T1,0.917,0.4085,0.9428
3840,64.06,Sion,T1,0.915,0.4082,0.9428
3870,64.56,Sion,T1,0.909,0.4085,0.9428
3900,65.06,Sion,T1,0.900,0.4074,0.9427
3930,65.57,Sion,T1,0.907,0.4089,0.9427
3960,66.07,Sion,T1,0.912,0.4092,0.9426
3990,66.57,Sion,T1,0.904,0.4072,0.9427
4020,67.07,Sion,T1,0.878,0.4082,0.9427
4020,67.07,RekSai,KT,0.635,0.9781,0.7373
4050,67.57,Sion,T1,0.882,0.4078,0.9427
4050,67.57,RekSai,KT,0.639,0.9780,0.7375
4080,68.07,Sion,T1,0.883,0.4082,0.9427
4080,68.07,RekSai,KT,0.644,0.9780,0.7376
4110,68.57,Sion,T1,0.889,0.4081,0.9427
4110,68.57,RekSai,KT,0.677,0.9780,0.7372
4140,69.07,Sion,T1,0.887,0.4083,0.9426
4140,69.07,RekSai,KT,0.655,0.9778,0.7374
4170,69.57,Sion,T1,0.886,0.4078,0.9427
4170,69.57,RekSai,KT,0.680,0.9777,0.7372
4200,70.07,Sion,T1,0.885,0.4076,0.9427
4200,70.07,RekSai,KT,0.705,0.9777,0.7372
4230,70.57,Sion,T1,0.896,0.4077,0.9428
