frame,time_s,champion,team,conf,x,y
0,0.00,Caitlyn,BLG,0.565,0.3258,0.9651
30,0.50,Caitlyn,BLG,0.590,0.3259,0.9651
60,1.00,Caitlyn,BLG,0.592,0.3259,0.9651
90,1.50,Caitlyn,BLG,0.590,0.3259,0.9651
120,2.00,Caitlyn,BLG,0.543,0.3311,0.9654
150,2.50,Caitlyn,BLG,0.477,0.3305,0.9654
180,3.00,Caitlyn,BLG,0.489,0.3313,0.9654
210,3.50,Caitlyn,BLG,0.528,0.3310,0.9654
240,4.00,Caitlyn,BLG,0.574,0.3314,0.9653
270,4.50,Caitlyn,BLG,0.568,0.3287,0.9654
300,5.00,Caitlyn,BLG,0.620,0.3306,0.9654
330,5.51,Caitlyn,BLG,0.493,0.3319,0.9654
360,6.01,Caitlyn,BLG,0.534,0.3271,0.9653
420,7.01,Caitlyn,BLG,0.435,0.3260,0.9653
450,7.51,Caitlyn,BLG,0.525,0.3258,0.9652
480,8.01,Caitlyn,BLG,0.504,0.3259,0.9652
510,8.51,Caitlyn,BLG,0.474,0.3257,0.9651
540,9.01,Caitlyn,BLG,0.523,0.3259,0.9651
570,9.51,Caitlyn,BLG,0.530,0.3260,0.9651
600,10.01,Caitlyn,BLG,0.505,0.3260,0.9651
630,10.51,Caitlyn,BLG,0.585,0.3259,0.9650
660,11.01,Caitlyn,BLG,0.581,0.3259,0.9650
690,11.51,Caitlyn,BLG,0.577,0.3259,0.9650
720,12.01,Caitlyn,BLG,0.574,0.3259,0.9650
750,12.51,Caitlyn,BLG,0.574,0.3259,0.9650
780,13.01,Caitlyn,BLG,0.551,0.3260,0.9651
810,13.51,Caitlyn,BLG,0.629,0.3260,0.9650
840,14.01,Caitlyn,BLG,0.590,0.3258,0.9646
870,14.51,Caitlyn,BLG,0.613,0.3259,0.9648
900,15.02,Caitlyn,BLG,0.562,0.3259,0.9649
930,15.52,Caitlyn,BLG,0.549,0.3258,0.9648
960,16.02,Caitlyn,BLG,0.525,0.3257,0.9649
990,16.52,Caitlyn,BLG,0.645,0.3261,0.9648
1020,17.02,Caitlyn,BLG,0.655,0.3311,0.9650
1050,17.52,Caitlyn,BLG,0.585,0.3317,0.9651
1080,18.02,Caitlyn,BLG,0.494,0.3255,0.9649
1110,18.52,Caitlyn,BLG,0.467,0.3303,0.9653
1140,19.02,Caitlyn,BLG,0.555,0.3316,0.9652
1170,19.52,Caitlyn,BLG,0.600,0.3255,0.9650
1200,20.02,Caitlyn,BLG,0.674,0.3310,0.9651
1230,20.52,Caitlyn,BLG,0.583,0.3288,0.9651
1260,21.02,Caitlyn,BLG,0.636,0.3256,0.9649
1290,21.52,Caitlyn,BLG,0.641,0.3256,0.9649
1320,22.02,Caitlyn,BLG,0.603,0.3256,0.9649
1350,22.52,Caitlyn,BLG,0.487,0.3259,0.9647
1380,23.02,Caitlyn,BLG,0.467,0.3260,0.9648
1410,23.52,Caitlyn,BLG,0.459,0.3259,0.9648
1440,24.02,Caitlyn,BLG,0.500,0.3260,0.9648
1470,24.52,Caitlyn,BLG,0.541,0.3258,0.9647
1500,25.03,Caitlyn,BLG,0.593,0.3260,0.9646
1530,25.53,Caitlyn,BLG,0.516,0.3310,0.9651
1590,26.53,Caitlyn,BLG,0.351,0.3304,0.9652
1620,27.03,Caitlyn,BLG,0.424,0.3257,0.9647
1650,27.53,Caitlyn,BLG,0.587,0.3261,0.9650
1680,28.03,Caitlyn,BLG,0.585,0.3262,0.9650
1710,28.53,Caitlyn,BLG,0.527,0.3273,0.9653
1740,29.03,Caitlyn,BLG,0.525,0.3281,0.9653
1770,29.53,Caitlyn,BLG,0.551,0.3311,0.9653
1800,30.03,Caitlyn,BLG,0.576,0.3312,0.9653
1830,30.53,Caitlyn,BLG,0.582,0.3313,0.9653
1860,31.03,Caitlyn,BLG,0.599,0.3313,0.9652
1890,31.53,Caitlyn,BLG,0.546,0.3314,0.9653
1920,32.03,Caitlyn,BLG,0.542,0.3296,0.9653
1950,32.53,Caitlyn,BLG,0.616,0.3314,0.9652
1980,33.03,Caitlyn,BLG,0.625,0.3315,0.9652
2010,33.53,Caitlyn,BLG,0.644,0.3314,0.9652
2040,34.03,Caitlyn,BLG,0.561,0.3316,0.9652
2070,34.53,Caitlyn,BLG,0.642,0.3260,0.9650
2100,35.04,Caitlyn,BLG,0.648,0.3313,0.9653
2130,35.54,Caitlyn,BLG,0.644,0.3313,0.9653
2160,36.04,Caitlyn,BLG,0.641,0.3312,0.9653
