frame,time_s,champion,team,conf,x,y
3090,51.55,Rumble,KT,0.423,0.4048,0.6011
3120,52.05,Rumble,KT,0.422,0.4048,0.6011
3150,52.55,Rumble,KT,0.427,0.4048,0.6011
3180,53.05,Rumble,KT,0.427,0.4048,0.6011
3210,53.55,Rumble,KT,0.419,0.4047,0.6011
3240,54.05,Rumble,KT,0.429,0.4048,0.6011
3270,54.55,Rumble,KT,0.433,0.4046,0.6011
3300,55.05,Rumble,KT,0.434,0.4047,0.6011
3330,55.56,Rumble,KT,0.427,0.4046,0.6010
3330,55.56,Ambessa,T1,0.400,0.4058,0.9420
3360,56.06,Ambessa,T1,0.509,0.4058,0.9421
3360,56.06,Rumble,KT,0.432,0.4047,0.6011
3390,56.56,Ambessa,T1,0.512,0.4058,0.9421
3390,56.56,Rumble,KT,0.441,0.4045,0.6010
3420,57.06,Ambessa,T1,0.508,0.4058,0.9421
3420,57.06,Rumble,KT,0.429,0.4047,0.6010
3450,57.56,Ambessa,T1,0.482,0.4059,0.9419
3450,57.56,Rumble,KT,0.428,0.4049,0.6010
3480,58.06,Ambessa,T1,0.480,0.4059,0.9419
3480,58.06,Rumble,KT,0.432,0.4050,0.6010
3510,58.56,Ambessa,T1,0.704,0.4058,0.9423
3540,59.06,Ambessa,T1,0.702,0.4058,0.9423
3570,59.56,Ambessa,T1,0.702,0.4058,0.9423
3600,60.06,Ambessa,T1,0.695,0.4058,0.9423
3630,60.56,Ambessa,T1,0.710,0.4058,0.9423
3660,61.06,Ambessa,T1,0.709,0.4058,0.9423
3690,61.56,Ambessa,T1,0.707,0.4058,0.9423
3720,62.06,Ambessa,T1,0.708,0.4058,0.9423
3750,62.56,Ambessa,T1,0.709,0.4058,0.9423
3780,63.06,Ambessa,T1,0.717,0.4058,0.9423
3810,63.56,Ambessa,T1,0.723,0.4061,0.9421
3840,64.06,Ambessa,T1,0.721,0.4060,0.9421
3870,64.56,Ambessa,T1,0.721,0.4060,0.9421
3900,65.06,Ambessa,T1,0.726,0.4061,0.9421
3930,65.57,Ambessa,T1,0.728,0.4061,0.9421
3960,66.07,Ambessa,T1,0.727,0.4061,0.9421
3990,66.57,Ambessa,T1,0.727,0.4061,0.9421
4020,67.07,Ambessa,T1,0.546,0.4061,0.9419
4050,67.57,Ambessa,T1,0.542,0.4061,0.9419
4080,68.07,Ambessa,T1,0.516,0.4061,0.9419
4110,68.57,Ambessa,T1,0.514,0.4061,0.9419
4140,69.07,Rumble,KT,0.612,0.4046,0.6013
