frame,time_s,champion,team,conf,x,y
0,0.00,Cassiopeia,KT,0.920,0.4065,0.8201
30,0.50,Cassiopeia,KT,0.911,0.4078,0.8200
60,1.00,Cassiopeia,KT,0.929,0.4069,0.8200
90,1.50,Cassiopeia,KT,0.917,0.4073,0.8199
120,2.00,Cassiopeia,KT,0.921,0.4075,0.8200
150,2.50,Cassiopeia,KT,0.923,0.4076,0.8200
180,3.00,Cassiopeia,KT,0.926,0.4076,0.8200
210,3.50,Cassiopeia,KT,0.927,0.4076,0.8200
240,4.00,Cassiopeia,KT,0.924,0.4076,0.8200
270,4.50,Cassiopeia,KT,0.926,0.4076,0.8200
300,5.00,Cassiopeia,KT,0.923,0.4076,0.8200
330,5.51,Cassiopeia,KT,0.923,0.4076,0.8200
360,6.01,Cassiopeia,KT,0.930,0.4076,0.8199
390,6.51,Cassiopeia,KT,0.933,0.4076,0.8199
420,7.01,Cassiopeia,KT,0.930,0.4071,0.8199
450,7.51,Cassiopeia,KT,0.927,0.4075,0.8199
480,8.01,Cassiopeia,KT,0.926,0.4073,0.8199
510,8.51,Cassiopeia,KT,0.930,0.4067,0.8199
540,9.01,Cassiopeia,KT,0.919,0.4076,0.8199
570,9.51,Cassiopeia,KT,0.934,0.4078,0.8199
600,10.01,Cassiopeia,KT,0.932,0.4078,0.8199
630,10.51,Cassiopeia,KT,0.933,0.4078,0.8199
660,11.01,Cassiopeia,KT,0.912,0.4069,0.8198
690,11.51,Cassiopeia,KT,0.885,0.4073,0.8197
720,12.01,Cassiopeia,KT,0.882,0.4072,0.8197
750,12.51,Cassiopeia,KT,0.883,0.4071,0.8197
780,13.01,Cassiopeia,KT,0.921,0.4071,0.8199
810,13.51,Cassiopeia,KT,0.915,0.4076,0.8200
840,14.01,Cassiopeia,KT,0.926,0.4078,0.8200
870,14.51,Cassiopeia,KT,0.930,0.4078,0.8200
900,15.02,Cassiopeia,KT,0.928,0.4078,0.8200
930,15.52,Cassiopeia,KT,0.928,0.4078,0.8200
960,16.02,Cassiopeia,KT,0.856,0.4071,0.8198
990,16.52,Cassiopeia,KT,0.879,0.4093,0.8203
